,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Developer,Rating
15523,Tenkai Knights: Brave Battle,3DS,2014,Action,Namco Bandai Games,20000,26,Bandai Namco Games,E10+
15552,Ridge Racer Unbounded,PC,2012,Racing,Namco Bandai Games,20000,72,Bugbear,T
15582,Mighty No. 9,XOne,2016,Platform,Deep Silver,20000,55,Inti Creates,E10+
15620,The Crew: Wild Run,XOne,2015,Action,Ubisoft,20000,65,Ivory Tower,T
15662,The Crew: Wild Run,PC,2015,Action,Ubisoft,20000,74,Ivory Tower,T
15676,Pillars of Eternity,PC,2014,Role-Playing,Paradox Interactive,20000,89,Obsidian Entertainment,M
15736,Prototype: Biohazard Bundle,PS4,2016,Action,Activision,20000,48,Radical Entertainment,M
15841,Mark McMorris Infinite Air,PS4,2016,Sports,FuRyu Corporation,20000,49,HB Studios Multimedia,T
15853,Divinity: Original Sin,PC,2014,Role-Playing,Focus Home Interactive,20000,87,Larian Studios,M
15862,Broken Sword 5: The Serpent's Curse,XOne,2015,Adventure,Revolution Software,20000,77,Revolution Software,T
16027,Quantum Break,PC,2016,Action,Microsoft Game Studios,20000,66,Remedy Entertainment,M
16064,DuckTales: Remastered,PC,2013,Action,Capcom,20000,66,WayForward,E
16068,Assetto Corsa,XOne,2016,Racing,505 Games,20000,63,Kunos Simulazioni,E
16090,Contrast,PC,2013,Platform,Focus Home Interactive,10000,62,Compulsion Games,T
16112,Valentino Rossi: The Game,PC,2016,Racing,Namco Bandai Games,10000,72,"Milestone, Milestone S.r.l",E
16115,Republique,PS4,2016,Action,Nippon Ichi Software,10000,72,"Camouflaj, LLC",M
16122,NBA 2K17,PC,2016,Sports,Take-Two Interactive,10000,90,Visual Concepts,E
16137,Super Stardust Ultra VR,PS4,2016,Shooter,Sony Computer Entertainment,10000,66,Sony Interactive Entertainment,E10+
16145,Azure Striker Gunvolt,3DS,2016,Action,Yacht Club Games,10000,77,Inti Creates,E10+
16190,Darksiders: Warmastered Edition,XOne,2016,Action,Nordic Games,10000,80,Nordic Games Publishing,M
16203,The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,10000,56,"Spidersoft, Spiders",M
16263,htoL#NiQ: The Firefly Diary,PSV,2014,Platform,Nippon Ichi Software,10000,58,Nippon Ichi Software,T
16267,Worms: WMD,XOne,2016,Action,Sold Out,10000,75,Team 17,E10+
16276,Doki-Doki Universe,PSV,2013,Adventure,Sony Computer Entertainment,10000,66,SCEA,E10+
16283,Sherlock Holmes: The Devil's Daughter,PC,2016,Adventure,Bigben Interactive,10000,65,Frogwares,T
16317,Prototype: Biohazard Bundle,XOne,2016,Action,Activision,10000,56,Radical Entertainment,M
16377,Dokuro,PSV,2012,Action,GungHo,10000,76,Game Arts,E10+
16396,Goat Simulator,XOne,2016,Simulation,Koch Media,10000,53,Coffee Stain Studios,T
16416,Legend of Kay Anniversary,WiiU,2015,Action,Nordic Games,10000,67,"Neon Studios, Kaiko",E10+
16424,Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Puzzle,Nintendo,10000,70,"Nintendo, Nintendo Software Technology",E
16467,TrackMania Turbo,PC,2016,Action,Ubisoft,10000,79,Nadeo,E
16490,Super Dungeon Bros,PS4,2016,Action,Nordic Games,10000,42,React Games,E10+
16503,Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure,Bigben Interactive,10000,70,Frogwares,T
16513,Ride 2,PC,2016,Racing,Milestone S.r.l,10000,78,Milestone S.r.l,E
16514,Art Academy: Home Studio,WiiU,2015,Misc,Nintendo,10000,82,Headstrong Games,E
16530,Dungeons 2,PS4,2016,Role-Playing,Kalypso Media,10000,61,Kalypso,T
16534,Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,10000,51,Stainless Games,M
16588,Transformers: Fall of Cybertron,PC,2012,Action,Activision,10000,78,"High Moon Studios, Mercenary Technologies",T
16601,Saints Row: Gat out of Hell,XOne,2015,Action,Deep Silver,10000,65,Volition Inc.,M
16634,Sébastien Loeb Rally Evo,XOne,2016,Racing,Milestone S.r.l,10000,63,Milestone S.r.l,E
16656,Fast Racing Neo ,WiiU,2016,Action,Nintendo,10000,81,Shin'en,E
16696,Metal Gear Solid V: Ground Zeroes,PC,2014,Action,Konami Digital Entertainment,10000,80,Kojima Productions,M
